log_text,location,category,severity,action_taken,date,"log_text,location,category,severity,action_taken,date"
,,,,,,"Internal dashboard showing 2024 data instead of 2026,Front End,Software,Low,Cleared the local storage and hard-refreshed the browser cache,2025-02-28"
,,,,,,"Tennis court fence has a large hole,Sports Court,Maintenance,Low,Patched fence with galvanized wire mesh and zip ties,2026-02-01"
,,,,,,"Residents complaining about cigarette smell in lifts,Elevator 1,Community,Medium,Cleaned air vents and installed ionizer in lift car,2026-02-02"
,,,,,,"Pool deck chairs are broken and unsafe,Poolside,Amenities,Low,Removed damaged chairs and ordered 5 new weather-proof units,2026-02-03"
,,,,,,"Gym Wi-Fi password sticker is missing,Gymnasium,Admin,Low,Printed and laminated new QR code signs for the wall,2026-02-04"
,,,,,,"Stray cat found feeding in the corridor,Block A Level 2,Sanitation,Low,Advised residents via notice not to leave food in common areas,2026-02-05"
,,,,,,"Barbecue pit has a gas leak smell,BBQ Area,Safety,High,Replaced the gas hose and the regulator valve,2026-02-06"
,,,,,,"Squash court floor is warped and slippery,Sports Center,Structural,Medium,Sanded wood surface and applied anti-slip polyurethane coating,2026-02-07"
,,,,,,"Community hall lights won't turn off,Clubhouse,Electrical,Low,Replaced the faulty manual toggle switch with a new unit,2026-02-08"
,,,,,,"Trash room door lock is broken,Block C Ground,Security,Medium,Installed a new heavy-duty deadbolt and gave keys to cleaners,2026-02-09"
,,,,,,"Loud music complaint at 2 AM,Block B Unit 12-04,Community,Medium,Security guard issued a verbal warning and recorded the incident,2026-02-10"
,,,,,,"Yoga room mirror has a visible crack,Gymnasium,Amenities,Medium,Covered crack with safety tape and scheduled glass replacement,2026-02-11"
,,,,,,"Pool water pH level is too high,Swimming Pool,Amenities,Medium,Added muriatic acid to balance pH and re-tested water quality,2026-02-12"
,,,,,,"Resident's parcel stolen from the lobby shelf,Main Lobby,Security,High,Reviewed CCTV and provided footage to local police department,2026-02-13"
,,,,,,"Bicycle rack is fully occupied and messy,Parking Area,Admin,Low,Installed two additional racks and tagged abandoned bikes for removal,2026-02-14"
,,,,,,"Playground slide is too hot during noon,Playground,Safety,Low,Installed a UV-resistant shade sail over the play structure,2026-02-15"
,,,,,,"Children playing football in the parking lot,Basement P1,Safety,Medium,Directed children to the sports court and notified parents,2026-02-16"
,,,,,,"Sauna room heater not reaching temperature,Gymnasium,Mechanical,Medium,Replaced the faulty heating element and checked the thermostat,2026-02-17"
,,,,,,"Pigeon droppings accumulating on balconies,Block D,Sanitation,Low,Installed bird spikes on ledges and scheduled professional cleaning,2026-02-18"
,,,,,,"Library computer is extremely slow,Reading Room,IT Support,Low,Ran disk cleanup and upgraded RAM from 4GB to 8GB,2026-02-19"
,,,,,,"Resident reporting a leak from the unit above,Block B Unit 8-03,Plumbing,High,Coordinated with upper unit for pipe inspection and repair,2026-02-20"
,,,,,,"Gym equipment weights are left on the floor,Gymnasium,Community,Low,Posted 'Please Rerack Weights' signs and alerted gym staff,2026-02-21"
,,,,,,"Barbecue area charcoal bins are overflowing,BBQ Area,Sanitation,Low,Cleared ash bins and replaced liners with fire-resistant bags,2026-02-22"
,,,,,,"Resident requesting a booking for the function hall,Management Office,Admin,Low,Verified availability and processed the $50 booking deposit,2026-02-23"
,,,,,,"Vending machine took money but didn't dispense,Lobby,Amenities,Low,Refunded user and contacted the vendor for machine repair,2026-02-24"
,,,,,,"Strong cooking smells in the hallway,Block C Level 6,Community,Low,Reminded residents to use kitchen exhaust fans via newsletter,2026-02-25"
,,,,,,"Lobby plants appear to be dying,Main Lobby,Maintenance,Low,Adjusted watering schedule and added slow-release fertilizer,2026-02-26"
,,,,,,"Resident complaining about neighbor's dog barking,Block A Level 9,Community,Medium,Issued a gentle reminder letter regarding the house rules for pets,2026-02-27"
,,,,,,"Pool shower head is clogged with lime scale,Poolside,Plumbing,Low,Soaked shower head in vinegar and cleared the nozzles,2026-02-28"
,,,,,,"Table tennis bat is broken,Clubhouse,Amenities,Low,Purchased a new set of 4 bats and 10 balls for the residents,2026-03-01"
,,,,,,"Kids drawing on the common area walls with chalk,Block B Lobby,Vandalism,Low,Cleaned walls with a damp cloth and spoke to the children's parents,2026-03-02"
,,,,,,"Resident cannot find their assigned mailbox key,Management Office,Admin,Low,Verified ownership and provided a replacement key for a $20 fee,2026-03-03"
,,,,,,"Water cooler in the gym is empty,Gymnasium,Amenities,Low,Replaced the 5-gallon water jug and checked the dispenser tap,2026-03-04"
,,,,,,"Resident's car scratched in the parking lot,Basement P2,Security,Medium,Checked CCTV footage but found no direct impact; advised filing report,2026-03-05"
,,,,,,"Jogging track has a trip hazard from a tree root,Perimeter,Safety,Medium,Ground down the root and patched the asphalt surface,2026-03-06"
,,,,,,"Resident asking for a moving-in permit,Management Office,Admin,Low,Issued permit and scheduled the elevator padding for the move date,2026-03-07"
,,,,,,"Meeting room whiteboard is permanently stained,Reading Room,Amenities,Low,Cleaned with specialized solvent and replaced old markers,2026-03-08"
,,,,,,"Unauthorized person using the swimming pool,Poolside,Security,Medium,Requested identification; escorted non-resident out of the facility,2026-03-09"
,,,,,,"Lobby sofa has a deep coffee stain,Main Lobby,Sanitation,Low,Professional upholstery cleaning performed to remove the stain,2026-03-10"
,,,,,,"Resident requesting a copy of the House Rules,Management Office,Admin,Low,Printed a copy and sent a digital PDF version to their email,2026-03-11"
,,,,,,"Gym air conditioner leaking on the floor,Gymnasium,HVAC,Medium,Cleared the drain pipe and placed a temporary 'Caution' sign,2026-03-12"
,,,,,,"Resident complaining about water pressure,Block D Unit 4-11,Plumbing,Medium,Inspected the unit's pressure reducing valve and adjusted it,2026-03-13"
,,,,,,"Barbecue area lights are too dim at night,BBQ Area,Electrical,Low,Replaced 40W bulbs with 100W equivalent LED floodlights,2026-03-14"
,,,,,,"Resident reporting a hornet's nest on the balcony,Block B Level 5,Safety,High,Called pest control for safe removal of the nest after sunset,2026-03-15"
,,,,,,"Common area corridor needs repainting,Block A Level 3,Maintenance,Low,Scheduled painting contractor for the upcoming weekend,2026-03-16"
,,,,,,"Resident's guest blocked the fire hydrant,Entrance Road,Safety,High,Towed the vehicle and issued a fine for safety violation,2026-03-17"
,,,,,,"Intercom button for 'Unit 10-02' is stuck,Main Entrance,Electrical,Low,Applied contact cleaner and freed the physical button,2026-03-18"
,,,,,,"Resident asking for a temporary visitor parking pass,Management Office,Admin,Low,Issued a 24-hour pass for the 'Guest Zone' P1 area,2026-03-19"
,,,,,,"Smell of trash near the elevator lobby,Block C,Sanitation,Low,Cleaned the trash chute area with industrial disinfectant,2026-03-20"
,,,,,,"Resident complaining about the heat in the gym,Gymnasium,HVAC,Medium,Decreased the AC set point to 22 degrees during peak hours,2026-03-21"
,,,,,,"Gym door lock is sticking,Gymnasium,Mechanical,Low,Lubricated the lock cylinder with graphite powder,2026-03-22"
,,,,,,"Solar panel inverter shows Error 44,Roof Deck,Energy,Medium,Restarted AC/DC isolator and updated inverter firmware,2026-03-01"
,,,,,,"Water seepage on ceiling after heavy rain,Block B Level 12,Structural,High,Applied waterproof membrane coating and cleared roof scuppers,2026-03-02"
,,,,,,"Recycling bin contaminated with food waste,Refuse Area,Sanitation,Low,Sorted waste manually and posted educational signage for residents,2026-03-03"
,,,,,,"High electricity consumption in common area,Main Lobby,Energy,Medium,Identified faulty timer on lobby lights and switched to LED sensors,2026-03-04"
,,,,,,"Strong sewage smell near manhole,Block C Ground,Sanitation,Medium,Contracted desludging service to clear the grease trap and manhole,2026-03-05"
,,,,,,"Irrigation system spraying water on walkway,Landscape,Water,Low,Adjusted nozzle direction and reprogrammed the sprinkler schedule,2026-03-06"
,,,,,,"Illegal dumping of old furniture,Basement P2,Sanitation,Medium,Cleared furniture to bulky waste bin and reviewed CCTV for fines,2026-03-07"
,,,,,,"Rainwater harvesting tank is overflowing,Block D,Water,Medium,Cleaned the overflow pipe and checked the float valve mechanism,2026-03-08"
,,,,,,"Fallen tree blocking the side entrance,Perimeter Road,Safety,High,Used chainsaw to clear branches and hauled debris for disposal,2026-03-09"
,,,,,,"Termite tracks found on skirting boards,Block A Unit 5-02,Sanitation,Medium,Conducted localized chemical injection and set up monitoring stations,2026-03-10"
,,,,,,"LED conversion for corridor lights incomplete,Block B,Energy,Low,Replaced remaining 15 fluorescent tubes with 18W LED units,2026-03-11"
,,,,,,"EV charging station screen is frozen,Parking P1,Energy,Medium,Performed a hard reset via the distribution board and updated firmware,2026-03-12"
,,,,,,"Excessive noise from the cooling tower,Roof Area,Environmental,Medium,Installed acoustic silencers on the fan discharge outlet,2026-03-13"
,,,,,,"Water meter for the clubhouse is spinning fast,Clubhouse,Water,High,Located and repaired a burst underground pipe near the entrance,2026-03-14"
,,,,,,"Compost bin emitting strong foul odor,Community Garden,Sanitation,Low,Aerated the compost and added dry carbon-rich brown material,2026-03-15"
,,,,,,"Garden lighting staying on during daytime,Landscape,Energy,Low,Cleaned the dirty photocell sensor and adjusted the LUX threshold,2026-03-16"
,,,,,,"Discovery of an invasive plant species,Perimeter Fence,Environmental,Low,Manually uprooted plants and applied eco-friendly herbicide,2026-03-17"
,,,,,,"Garbage chute compactor is jammed,Block C,Sanitation,High,Cleared the oversized box and reset the hydraulic ram,2026-03-18"
,,,,,,"Air quality sensor reporting high CO2,Gymnasium,Environmental,Medium,Opened the ventilation dampers and checked the AHU filters,2026-03-19"
,,,,,,"Automatic taps running for too long,Public Restroom,Water,Low,Adjusted the infrared sensor delay from 10 seconds to 5 seconds,2026-03-20"
,,,,,,"Grease trap in the cafe kitchen is full,Clubhouse,Sanitation,Medium,Scheduled emergency vacuum service and cleaned the inlet baffle,2026-03-21"
,,,,,,"Dust accumulation on rooftop solar panels,Roof Deck,Energy,Low,Performed a light-pressure wash to restore energy efficiency,2026-03-22"
,,,,,,"Resident reporting a bird trapped in the vent,Block A,Environmental,Medium,Safely removed the bird and installed a protective wire mesh,2026-03-23"
,,,,,,"Unauthorized chemical smell in the basement,Parking P3,Environmental,High,Identified spilled paint thinner; used absorbent pads for cleanup,2026-03-24"
,,,,,,"HVAC system using 20% more power than usual,Plant Room,Energy,Medium,Identified a stuck damper and re-calibrated the actuator,2026-03-25"
,,,,,,"Motion sensors in the stairwell are failing,Staircase C,Energy,Low,Replaced the battery-powered PIR sensors with hardwired units,2026-03-26"
,,,,,,"Report of oil sheen in the perimeter drain,External Area,Sanitation,High,Installed oil-absorbent booms and traced the source to a leaky car,2026-03-27"
,,,,,,"Recycling center door is difficult to open,Refuse Area,Maintenance,Low,Lubricated the sliding track and adjusted the door alignment,2026-03-28"
,,,,,,"Water fountain filter change light is on,Lobby,Water,Low,Replaced the 5-micron carbon filter and reset the indicator,2026-03-29"
,,,,,,"Complaint of excessive heat from the sun,West Wing Lobby,Energy,Medium,Applied heat-reflective solar film to the glass facade,2026-03-30"
,,,,,,"Dripping AC unit over the main entrance,Lobby,Water,Medium,Installed a proper drain pipe and connected it to the main stack,2026-03-31"
,,,,,,"Rats sighted near the refuse center,Refuse Area,Sanitation,Medium,Installed tamper-resistant"
